iter	Passed	Remaining
0	176	105558
1	199	59708
2	222	44311
3	244	36474
4	266	31681
5	287	28417
6	308	26130
7	330	24441
8	350	23039
9	371	21927
10	396	21254
11	417	20474
12	437	19746
13	457	19130
14	476	18596
15	495	18067
16	511	17534
17	528	17088
18	546	16704
19	562	16326
20	580	16010
21	596	15672
22	613	15402
23	630	15141
24	649	14932
25	667	14742
26	684	14532
27	702	14357
28	719	14171
29	735	13980
30	752	13818
31	768	13632
32	785	13491
33	802	13352
34	819	13223
35	836	13098
36	852	12978
37	870	12872
38	888	12775
39	904	12664
40	921	12568
41	937	12458
42	954	12360
43	972	12285
44	987	12183
45	1004	12099
46	1020	12008
47	1037	11925
48	1054	11859
49	1071	11786
50	1088	11716
51	1105	11652
52	1124	11608
53	1141	11542
54	1159	11484
55	1175	11417
56	1192	11360
57	1208	11290
58	1224	11229
59	1240	11165
60	1257	11108
61	1273	11052
62	1289	10987
63	1305	10933
64	1321	10880
65	1338	10830
66	1354	10777
67	1370	10721
68	1384	10655
69	1402	10619
70	1419	10572
71	1435	10526
72	1452	10485
73	1469	10443
74	1485	10401
75	1501	10354
76	1518	10310
77	1534	10269
78	1551	10230
79	1567	10190
80	1585	10156
81	1601	10117
82	1618	10083
83	1634	10040
84	1651	10006
85	1667	9968
86	1685	9939
87	1702	9903
88	1716	9857
89	1734	9826
90	1749	9787
91	1766	9754
92	1783	9722
93	1800	9691
94	1817	9662
95	1834	9632
96	1852	9604
97	1868	9571
98	1885	9542
99	1902	9514
100	1919	9485
101	1936	9455
102	1952	9423
103	1970	9395
104	1986	9367
105	2002	9334
106	2019	9303
107	2036	9278
108	2053	9250
109	2071	9225
110	2087	9196
111	2103	9164
112	2119	9136
113	2138	9116
114	2153	9081
115	2172	9063
116	2191	9045
117	2209	9023
118	2227	9002
119	2243	8974
120	2259	8943
121	2274	8910
122	2290	8883
123	2306	8855
124	2324	8834
125	2342	8812
126	2360	8791
127	2377	8766
128	2394	8743
129	2411	8718
130	2427	8690
131	2444	8665
132	2459	8635
133	2476	8610
134	2493	8589
135	2511	8567
136	2527	8542
137	2545	8523
138	2563	8503
139	2577	8469
140	2593	8442
141	2609	8416
142	2625	8389
143	2642	8367
144	2658	8341
145	2674	8317
146	2692	8296
147	2709	8274
148	2726	8252
149	2743	8229
150	2760	8208
151	2775	8181
152	2793	8160
153	2810	8138
154	2826	8115
155	2845	8099
156	2862	8076
157	2878	8053
158	2895	8030
159	2912	8009
160	2929	7988
161	2946	7965
162	2962	7943
163	2979	7921
164	2995	7896
165	3010	7871
166	3026	7847
167	3044	7827
168	3060	7804
169	3076	7781
170	3092	7758
171	3110	7738
172	3126	7717
173	3144	7697
174	3161	7677
175	3177	7654
176	3194	7634
177	3210	7611
178	3226	7589
179	3242	7566
180	3260	7548
181	3278	7529
182	3294	7507
183	3310	7485
184	3328	7466
185	3345	7445
186	3361	7424
187	3377	7402
188	3393	7380
189	3409	7358
190	3427	7338
191	3443	7318
192	3460	7297
193	3476	7275
194	3494	7257
195	3511	7238
196	3529	7219
197	3546	7200
198	3563	7180
199	3580	7161
200	3598	7142
201	3614	7121
202	3628	7096
203	3645	7076
204	3663	7059
205	3680	7039
206	3697	7019
207	3713	6999
208	3730	6979
209	3748	6960
210	3764	6940
211	3781	6920
212	3797	6899
213	3814	6881
214	3831	6860
215	3848	6842
216	3865	6822
217	3880	6800
218	3897	6780
219	3914	6760
220	3930	6740
221	3947	6721
222	3963	6700
223	3979	6679
224	3996	6660
225	4013	6642
226	4032	6625
227	4051	6609
228	4066	6588
229	4084	6570
230	4102	6553
231	4120	6536
232	4137	6517
233	4155	6499
234	4172	6480
235	4190	6463
236	4207	6445
237	4226	6427
238	4245	6412
239	4263	6395
240	4282	6379
241	4301	6364
242	4319	6345
243	4338	6329
244	4356	6312
245	4375	6297
246	4394	6280
247	4412	6263
248	4430	6245
249	4448	6227
250	4465	6209
251	4484	6192
252	4501	6174
253	4520	6158
254	4538	6139
255	4555	6122
256	4573	6103
257	4590	6084
258	4607	6066
259	4624	6047
260	4642	6030
261	4659	6011
262	4676	5992
263	4694	5975
264	4713	5958
265	4730	5940
266	4749	5923
267	4767	5905
268	4784	5887
269	4801	5868
270	4818	5849
271	4834	5829
272	4852	5812
273	4869	5793
274	4886	5775
275	4903	5755
276	4920	5737
277	4938	5720
278	4956	5702
279	4975	5685
280	4991	5666
281	5009	5649
282	5027	5631
283	5044	5613
284	5061	5594
285	5077	5575
286	5094	5555
287	5113	5539
288	5130	5521
289	5146	5501
290	5164	5483
291	5182	5466
292	5198	5447
293	5216	5429
294	5234	5412
295	5253	5395
296	5269	5376
297	5286	5357
298	5303	5339
299	5321	5321
300	5338	5303
301	5355	5284
302	5371	5265
303	5388	5246
304	5405	5228
305	5423	5211
306	5439	5191
307	5455	5172
308	5471	5153
309	5487	5133
310	5503	5114
311	5520	5096
312	5539	5079
313	5556	5061
314	5572	5041
315	5589	5023
316	5606	5005
317	5623	4987
318	5640	4968
319	5656	4949
320	5672	4930
321	5688	4910
322	5704	4892
323	5722	4874
324	5740	4857
325	5758	4839
326	5775	4821
327	5792	4803
328	5809	4785
329	5824	4765
330	5842	4747
331	5860	4730
332	5878	4713
333	5893	4693
334	5910	4675
335	5927	4657
336	5945	4639
337	5963	4622
338	5979	4603
339	5997	4586
340	6013	4567
341	6030	4549
342	6046	4530
343	6063	4512
344	6079	4493
345	6095	4475
346	6112	4456
347	6128	4437
348	6145	4419
349	6162	4401
350	6179	4383
351	6197	4366
352	6215	4348
353	6233	4331
354	6250	4313
355	6268	4296
356	6284	4277
357	6301	4259
358	6320	4243
359	6337	4224
360	6355	4207
361	6373	4190
362	6391	4173
363	6409	4155
364	6427	4138
365	6444	4120
366	6460	4101
367	6476	4083
368	6494	4065
369	6512	4048
370	6530	4031
371	6550	4015
372	6569	3998
373	6586	3980
374	6604	3962
375	6623	3945
376	6640	3928
377	6658	3910
378	6676	3893
379	6694	3875
380	6711	3858
381	6729	3840
382	6747	3822
383	6763	3804
384	6779	3786
385	6796	3768
386	6814	3750
387	6833	3733
388	6851	3716
389	6869	3698
390	6887	3681
391	6905	3664
392	6922	3645
393	6940	3628
394	6956	3610
395	6973	3592
396	6990	3574
397	7006	3556
398	7022	3537
399	7040	3520
400	7057	3502
401	7073	3484
402	7089	3465
403	7106	3447
404	7122	3429
405	7140	3411
406	7157	3394
407	7175	3376
408	7191	3358
409	7209	3340
410	7225	3322
411	7242	3304
412	7260	3287
413	7279	3270
414	7297	3253
415	7314	3235
416	7332	3217
417	7349	3200
418	7366	3182
419	7383	3164
420	7400	3146
421	7418	3129
422	7436	3111
423	7452	3093
424	7470	3075
425	7486	3057
426	7503	3040
427	7522	3022
428	7540	3005
429	7557	2987
430	7575	2970
431	7593	2952
432	7612	2935
433	7629	2918
434	7646	2900
435	7664	2882
436	7682	2865
437	7699	2847
438	7717	2830
439	7734	2812
440	7752	2794
441	7769	2777
442	7787	2760
443	7805	2742
444	7822	2724
445	7839	2707
446	7857	2689
447	7875	2672
448	7893	2654
449	7911	2637
450	7929	2619
451	7947	2602
452	7965	2584
453	7982	2567
454	8000	2549
455	8018	2532
456	8036	2514
457	8054	2497
458	8072	2479
459	8090	2462
460	8107	2444
461	8125	2427
462	8143	2409
463	8161	2392
464	8179	2374
465	8197	2357
466	8214	2339
467	8230	2321
468	8248	2304
469	8267	2286
470	8286	2269
471	8302	2251
472	8320	2234
473	8339	2216
474	8357	2199
475	8374	2181
476	8390	2163
477	8408	2146
478	8425	2128
479	8442	2110
480	8461	2093
481	8479	2075
482	8497	2058
483	8515	2040
484	8532	2023
485	8551	2005
486	8568	1988
487	8585	1970
488	8603	1952
489	8621	1935
490	8638	1917
491	8655	1899
492	8672	1882
493	8690	1864
494	8708	1847
495	8726	1829
496	8744	1812
497	8763	1794
498	8782	1777
499	8800	1760
500	8819	1742
501	8836	1725
502	8853	1707
