feature,importance
InternetService_Fiber optic,0.43450084
Contract_Month-to-month,0.32954752
PaymentMethod_Electronic check,0.10866367
DeviceProtection_No internet service,0.040374666
Contract_Two year,0.019374011
tenure,0.008790295
Contract_One year,0.0069498722
OnlineSecurity_No,0.006745607
StreamingTV_No,0.0053538946
SeniorCitizen_No,0.0037696701
StreamingMovies_No,0.0036770806
MultipleLines_No phone service,0.0035529197
MultipleLines_No,0.002968145
PaperlessBilling_No,0.0028480093
StreamingMovies_Yes,0.0023763122
Dependents_No,0.0022189198
MultipleLines_Yes,0.001991122
MonthlyCharges,0.0019628908
TechSupport_No,0.0019584405
StreamingTV_Yes,0.0016944938
TotalCharges,0.0013199958
OnlineBackup_No,0.0011631259
InternetService_DSL,0.0009442461
DeviceProtection_Yes,0.0008952911
OnlineSecurity_Yes,0.0008180142
PaymentMethod_Mailed check,0.00081402226
OnlineBackup_Yes,0.0007752897
DeviceProtection_No,0.0007713956
PaymentMethod_Credit card (automatic),0.000662982
PaymentMethod_Bank transfer (automatic),0.0006610537
TechSupport_Yes,0.0006597946
Partner_No,0.00063246116
gender_Female,0.00056400965
Dependents_Yes,0.0
InternetService_No,0.0
PaperlessBilling_Yes,0.0
OnlineBackup_No internet service,0.0
OnlineSecurity_No internet service,0.0
Partner_Yes,0.0
SeniorCitizen_Yes,0.0
PhoneService_No,0.0
PhoneService_Yes,0.0
StreamingMovies_No internet service,0.0
StreamingTV_No internet service,0.0
TechSupport_No internet service,0.0
gender_Male,0.0
