feature,importance
TotalCharges,743
tenure,679
MonthlyCharges,523
PaymentMethod_Electronic check,105
MultipleLines_No,89
PaperlessBilling_No,82
SeniorCitizen_No,77
Dependents_No,62
Contract_Month-to-month,59
StreamingTV_No,52
Contract_Two year,52
OnlineSecurity_No,50
Contract_One year,47
InternetService_Fiber optic,41
MultipleLines_No phone service,41
StreamingMovies_No,40
PaymentMethod_Mailed check,28
OnlineBackup_No,27
MultipleLines_Yes,24
TechSupport_No,23
DeviceProtection_No,22
Partner_No,18
DeviceProtection_No internet service,15
StreamingTV_Yes,15
PaymentMethod_Credit card (automatic),14
StreamingMovies_Yes,14
PaymentMethod_Bank transfer (automatic),11
TechSupport_Yes,10
OnlineBackup_Yes,9
InternetService_DSL,9
gender_Female,6
OnlineSecurity_Yes,5
DeviceProtection_Yes,3
gender_Male,2
Partner_Yes,2
PaperlessBilling_Yes,1
InternetService_No,0
Dependents_Yes,0
OnlineBackup_No internet service,0
OnlineSecurity_No internet service,0
PhoneService_No,0
PhoneService_Yes,0
StreamingMovies_No internet service,0
SeniorCitizen_Yes,0
StreamingTV_No internet service,0
TechSupport_No internet service,0
