iter	Passed	Remaining
0	182	109570
1	202	60484
2	221	44160
3	240	35882
4	259	30892
5	277	27483
6	295	25024
7	312	23139
8	330	21686
9	347	20511
10	365	19565
11	382	18754
12	402	18156
13	419	17568
14	436	17009
15	452	16529
16	467	16047
17	483	15628
18	499	15264
19	516	14964
20	530	14632
21	545	14318
22	559	14043
23	574	13793
24	589	13559
25	604	13354
26	621	13190
27	635	12976
28	650	12799
29	665	12642
30	682	12526
31	698	12393
32	713	12267
33	743	12371
34	757	12233
35	773	12125
36	789	12006
37	804	11897
38	819	11787
39	835	11695
40	849	11578
41	863	11477
42	879	11393
43	894	11307
44	909	11217
45	924	11138
46	939	11052
47	954	10977
48	968	10886
49	982	10810
50	997	10739
51	1011	10657
52	1025	10584
53	1039	10512
54	1053	10443
55	1068	10376
56	1082	10313
57	1095	10237
58	1109	10173
59	1123	10112
60	1137	10052
61	1151	9990
62	1176	10028
63	1190	9969
64	1203	9905
65	1216	9842
66	1231	9793
67	1246	9748
68	1261	9704
69	1274	9652
70	1288	9600
71	1302	9550
72	1315	9499
73	1330	9456
74	1344	9413
75	1359	9376
76	1375	9341
77	1388	9291
78	1402	9248
79	1416	9206
80	1430	9165
81	1444	9125
82	1459	9091
83	1473	9053
84	1487	9014
85	1502	8978
86	1516	8943
87	1531	8911
88	1546	8879
89	1561	8845
90	1575	8812
91	1589	8777
92	1604	8745
93	1618	8711
94	1633	8685
95	1648	8652
96	1662	8620
97	1676	8588
98	1691	8559
99	1705	8529
100	1719	8493
101	1733	8464
102	1748	8435
103	1763	8410
104	1778	8383
105	1793	8356
106	1807	8326
107	1820	8295
108	1835	8268
109	1850	8242
110	1864	8212
111	1878	8183
112	1893	8162
113	1909	8139
114	1925	8119
115	1940	8096
116	1956	8078
117	1972	8055
118	1987	8031
119	2002	8011
120	2019	7993
121	2034	7971
122	2049	7948
123	2064	7926
124	2081	7908
125	2097	7890
126	2116	7882
127	2133	7866
128	2148	7843
129	2163	7821
130	2177	7797
131	2195	7785
132	2213	7770
133	2230	7756
134	2249	7746
135	2267	7737
136	2285	7723
137	2303	7712
138	2320	7697
139	2337	7680
140	2354	7665
141	2371	7647
142	2388	7632
143	2405	7618
144	2424	7607
145	2441	7592
146	2460	7580
147	2477	7567
148	2496	7555
149	2513	7541
150	2531	7528
151	2550	7517
152	2568	7504
153	2586	7490
154	2603	7474
155	2621	7462
156	2640	7449
157	2658	7435
158	2681	7437
159	2698	7422
160	2716	7406
161	2735	7397
162	2755	7386
163	2772	7371
164	2788	7351
165	2805	7334
166	2821	7314
167	2839	7300
168	2857	7288
169	2875	7273
170	2894	7261
171	2912	7247
172	2931	7234
173	2948	7218
174	2965	7202
175	2983	7188
176	3000	7170
177	3017	7152
178	3032	7133
179	3049	7115
180	3067	7100
181	3086	7088
182	3105	7075
183	3122	7060
184	3140	7044
185	3156	7025
186	3174	7010
187	3191	6994
188	3209	6978
189	3225	6961
190	3243	6946
191	3262	6932
192	3279	6914
193	3310	6927
194	3325	6906
195	3343	6892
196	3362	6878
197	3379	6860
198	3396	6844
199	3412	6825
200	3431	6811
201	3447	6793
202	3465	6777
203	3483	6761
204	3499	6742
205	3515	6724
206	3533	6708
207	3550	6690
208	3568	6675
209	3586	6661
210	3603	6643
211	3620	6625
212	3637	6609
213	3656	6595
214	3675	6582
215	3694	6567
216	3710	6549
217	3728	6533
218	3747	6518
219	3765	6503
220	3781	6485
221	3798	6467
222	3816	6451
223	3833	6433
224	3850	6417
225	3868	6401
226	3884	6383
227	3901	6365
228	3919	6349
229	3935	6331
230	3953	6315
231	3971	6299
232	3987	6280
233	4005	6265
234	4023	6248
235	4040	6231
236	4056	6212
237	4072	6194
238	4089	6177
239	4106	6160
240	4123	6142
241	4139	6124
242	4154	6104
243	4171	6085
244	4187	6067
245	4204	6050
246	4220	6032
247	4237	6013
248	4252	5994
249	4270	5978
250	4286	5960
251	4302	5941
252	4317	5922
253	4334	5903
254	4351	5887
255	4371	5873
256	4386	5854
257	4403	5837
258	4419	5818
259	4434	5799
260	4450	5780
261	4467	5762
262	4482	5744
263	4499	5726
264	4515	5707
265	4531	5689
266	4547	5670
267	4562	5651
268	4578	5633
269	4593	5614
270	4609	5596
271	4624	5577
272	4640	5558
273	4655	5539
274	4672	5522
275	4688	5504
276	4704	5485
277	4719	5466
278	4735	5447
279	4751	5430
280	4766	5410
281	4780	5391
282	4796	5372
283	4811	5353
284	4828	5336
285	4843	5317
286	4859	5300
287	4875	5281
288	4890	5262
289	4907	5245
290	4924	5229
291	4939	5209
292	4954	5190
293	4968	5171
294	4984	5153
295	4999	5134
296	5014	5115
297	5028	5096
298	5043	5076
299	5059	5059
300	5075	5041
301	5092	5024
302	5107	5006
303	5122	4987
304	5136	4968
305	5152	4950
306	5167	4932
307	5182	4913
308	5196	4893
309	5212	4876
310	5227	4857
311	5242	4839
312	5258	4821
313	5273	4803
314	5289	4785
315	5303	4766
316	5319	4748
317	5334	4730
318	5349	4712
319	5364	4693
320	5378	4675
321	5393	4656
322	5408	4638
323	5423	4619
324	5438	4601
325	5455	4584
326	5470	4567
327	5487	4550
328	5501	4532
329	5516	4513
330	5531	4495
331	5546	4477
332	5561	4459
333	5576	4441
334	5591	4423
335	5605	4404
336	5621	4387
337	5635	4368
338	5651	4350
339	5666	4333
340	5681	4315
341	5696	4297
342	5711	4279
343	5726	4261
344	5742	4244
345	5756	4225
346	5771	4207
347	5786	4189
348	5800	4172
349	5814	4153
350	5829	4135
351	5843	4116
352	5858	4099
353	5872	4080
354	5886	4062
355	5902	4045
356	5917	4028
357	5932	4010
358	5947	3992
359	5963	3975
360	5978	3957
361	5992	3939
362	6006	3921
363	6021	3903
364	6035	3886
365	6050	3868
366	6065	3850
367	6080	3833
368	6094	3815
369	6109	3797
370	6124	3780
371	6138	3762
372	6152	3744
373	6166	3726
374	6181	3708
375	6196	3691
376	6211	3674
377	6227	3657
378	6241	3639
379	6255	3621
380	6270	3604
381	6285	3586
382	6300	3569
383	6314	3552
384	6330	3535
385	6344	3517
386	6360	3500
387	6376	3483
388	6389	3466
389	6404	3448
390	6419	3431
391	6434	3414
392	6448	3396
393	6463	3379
394	6478	3362
395	6498	3347
396	6513	3330
397	6527	3313
398	6543	3296
399	6557	3278
400	6573	3261
401	6587	3244
402	6601	3227
403	6616	3209
404	6630	3192
405	6645	3175
406	6660	3158
407	6675	3141
408	6690	3124
409	6705	3107
410	6719	3089
411	6733	3072
412	6746	3054
413	6761	3037
414	6775	3020
415	6789	3003
416	6803	2985
417	6818	2968
418	6831	2951
419	6845	2933
420	6859	2916
421	6873	2899
422	6887	2881
423	6901	2864
424	6915	2847
425	6929	2830
426	6942	2812
427	6957	2795
428	6973	2779
429	6987	2762
430	7002	2745
431	7016	2728
432	7030	2711
433	7043	2693
434	7056	2676
435	7071	2660
436	7086	2643
437	7100	2626
438	7114	2609
439	7129	2592
440	7142	2575
441	7157	2558
442	7172	2541
443	7187	2525
444	7202	2508
445	7217	2492
446	7231	2475
447	7246	2458
448	7261	2442
449	7277	2425
450	7292	2409
451	7307	2392
452	7322	2376
453	7336	2359
454	7350	2342
455	7364	2325
456	7377	2308
457	7393	2292
458	7408	2275
459	7422	2259
460	7437	2242
461	7451	2225
462	7465	2209
463	7479	2192
464	7493	2175
465	7506	2158
466	7520	2141
467	7534	2125
468	7549	2108
469	7563	2091
470	7577	2075
471	7591	2058
472	7607	2042
473	7622	2026
474	7636	2009
475	7650	1993
476	7664	1976
477	7678	1959
478	7692	1943
479	7707	1926
480	7721	1910
481	7735	1893
482	7748	1876
483	7763	1860
484	7777	1844
485	7791	1827
486	7805	1811
487	7820	1794
488	7834	1778
489	7848	1761
490	7862	1745
491	7876	1728
492	7890	1712
493	7904	1696
494	7919	1679
495	7933	1663
496	7947	1647
497	7961	1630
498	7975	1614
499	7988	1597
500	8002	1581
501	8016	1564
502	8029	1548
503	8044	1532
504	8058	1515
505	8072	1499
506	8087	1483
507	8102	1467
508	8117	1451
509	8131	1435
510	8145	1418
511	8160	1402
512	8173	1386
513	8187	1369
514	8202	1353
515	8216	1337
516	8231	1321
517	8244	1305
518	8259	1289
519	8273	1272
520	8287	1256
521	8301	1240
522	8315	1224
523	8329	1208
524	8342	1191
525	8355	1175
526	8370	1159
527	8383	1143
528	8399	1127
529	8414	1111
530	8428	1095
531	8442	1079
532	8457	1063
533	8473	1047
534	8487	1031
535	8500	1015
536	8514	998
537	8529	982
538	8543	966
539	8557	950
540	8571	934
541	8585	918
542	8599	902
543	8613	886
544	8627	870
545	8641	854
546	8656	838
547	8672	822
548	8687	806
549	8701	791
550	8715	775
551	8729	759
552	8744	743
553	8759	727
554	8774	711
555	8788	695
556	8803	679
557	8817	663
558	8832	647
559	8846	631
560	8860	615
561	8873	600
562	8889	584
563	8903	568
564	8917	552
565	8931	536
566	8945	520
567	8959	504
568	8972	488
569	8987	473
570	9002	457
571	9015	441
572	9029	425
573	9044	409
574	9058	393
575	9072	378
576	9088	362
577	9103	346
578	9116	330
579	9131	314
580	9146	299
581	9159	283
582	9173	267
583	9186	251
584	9200	235
585	9215	220
586	9229	204
587	9243	188
588	9257	172
589	9272	157
590	9285	141
591	9300	125
592	9314	109
593	9328	94
594	9343	78
595	9357	62
596	9372	47
597	9387	31
598	9401	15
599	9415	0
